Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Year,Looks,Body Type,Engine Type,Number of Cylinders,Price (SEK),Usage Type
CCM,UK,Storm 1200,1200.0,115.0,105.0,Manual,Chain,2,2022,Adventure,Adventure,Parallel-twin,2,145000,Touring
CFMOTO,China,300NK,292.4,33.99,21.5,Manual,Chain,1,2022,Classic,Naked/Street,Single-cylinder,1,30000,Street
CFMOTO,China,650NK,649.3,61.18,45.0,Manual,Chain,1,2022,Classic,Naked/Street,Parallel-twin,2,45000,Street
CFMOTO,China,650MT,649.0,70.7,55.0,Manual,Chain,2,2022,Adventure,Adventure,Parallel-twin,2,55000,Touring
CFMOTO,China,650GT,649.3,62.54,49.0,Manual,Shaft Drive,2,2022,Adventure,Adventure,Parallel-twin,2,58000,Touring
Confederate,USA,Hellcat,1967.0,205.0,183.0357,Manual,Belt,1,2022,Retro,Cruiser,V-twin,2,900000,Cruise
Confederate,USA,Wraith,1967.0,190.0,169.4775,Manual,Belt,1,2022,Modern,Naked/Street,V-twin,2,850000,Street
Daelim,South Korea,VL 125,124.9,10.8,10.2,Manual,Chain,1,2022,Classic,Cruiser,Single-cylinder,1,18000,Cruise
Daelim,South Korea,V125 FI,124.9,11.2,10.2,Automatic,Automatic,1,2022,Classic,Scooter,Single-cylinder,1,16000,Street
Daelim,South Korea,NS 250 FI,249.6,27.6,22.4,Manual,Chain,1,2023,Sport,Naked/Street,Single-cylinder,1,25000,Street
Daelim,South Korea,Roadwin 250,249.6,27.6,22.4,Manual,Chain,1,2023,Adventure,Adventure,Single-cylinder,1,27000,Touring
Ducati,Italy,Panigale V4,1103.0,221.0,168.12168,Manual,Chain,1,2022,Classic,Sport,V4,4,230000,Race
Ducati,Italy,Diavel,1262.0,159.6,126.09126,Automatic,Belt,1,2022,Cruiser,Cruiser,V-twin,2,175000,Cruise
Ducati,Italy,Scrambler 800,803.0,73.0,63.72354,Manual,Chain,2,2022,Retro,Standard,V-twin,2,85000,Street
Ducati,Italy,Monster,937.0,111.0,93.55158,Manual,Chain,1,2022,Modern,Naked/Street,V-twin,2,105000,Street
Ducati,Italy,Multistrada V4,1158.0,168.0,126.09126,Manual,Shaft Drive,2,2022,Adventure,Adventure,V4,4,180000,Touring
Harley-Davidson,USA,Nightster,975.0,88.5,88.1283,Manual,Belt,1,2023,Classic,Cruiser,V-twin,1,115000,Cruise
Harley-Davidson,USA,Sportter S,1252.0,120.7,127.44708,Manual,Belt,1,2023,Classic,Cruiser,V-twin,1,140000,Cruise
Harley-Davidson,USA,Road Glide Special,1868.0,92.5,159.98676,Automatic,Belt,1,2023,Classic,Adventure,V-twin,2,230000,Touring
Harley-Davidson,USA,Naked/Street Glide Special,1868.0,92.5,159.98676,Automatic,Belt,1,2023,Classic,Adventure,V-twin,2,220000,Touring
Harley-Davidson,USA,PAN America 1250,1252.0,150.2,127.44708,Manual,Chain,2,2023,Adventure,Adventure,V-twin,2,160000,Touring
Harley-Davidson,USA,Fat Bob,1868.0,92.5,159.98676,Manual,Belt,1,2023,Classic,Cruiser,V-twin,2,155000,Cruise
Harley-Davidson,USA,Fat Boy,1868.0,92.5,159.98676,Manual,Belt,1,2023,Classic,Cruiser,V-twin,2,165000,Cruise
Harley-Davidson,USA,Heritage Classic,1868.0,94.0,151.85184,Manual,Belt,2,2023,Classic,Cruiser,V-twin,2,175000,Cruise
Honda,Japan,CBR250R,249.6,26.5,19.4,Manual,Chain,2,2023,Classic,Sport,Single-cylinder,2,35000,Race
Honda,Japan,CB350R,348.36,31.0,27.3,Manual,Chain,2,2023,Classic,Standard,Single-cylinder,1,55000,Street
Honda,India,Hness CB350,348.36,29.6,30.0,Manual,Chain,2,2022,Classic,Standard,Single-cylinder,1,45000,Street
Honda,India,CB Shine,124.9,10.5,10.3,Manual,Chain,2,2023,Modern,Standard,Single-cylinder,1,18000,Street
Honda,India,Activa 125,124.9,8.75,10.3,Automatic,Automatic,2,2023,Modern,Scooter,Single-cylinder,1,22000,Street
Husqvarna,Sweden,Vitpilen 401,373.2,43.0,37.0,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1,45000,Street
Husqvarna,Sweden,Svartpilen 401,373.2,43.0,37.0,Manual,Chain,2,2023,Modern,Adventure,Single-cylinder,1,48000,Touring
Husqvarna,Sweden,701 Supermoto,693.0,75.0,72.0,Manual,Chain,1,2023,Modern,Enduro,Single-cylinder,1,90000,Off-road
Husqvarna,Sweden,701 Enduro,693.0,75.0,72.0,Manual,Chain,1,2023,Modern,Enduro,Single-cylinder,1,95000,Off-road
Indian,USA,Chief Dark Horse,1133.0,108.0,114.0,Manual,Chain,2,2023,Classic,Cruiser,V-twin,2,220000,Cruise
Indian,USA,Chief Cruiser Dark Horse,1133.0,108.0,114.0,Manual,Chain,2,2023,Classic,Cruiser,V-twin,2,230000,Cruise
Indian,USA,Challenger Dark Horse,1799.0,122.0,178.0,Manual,Belt,2,2023,Modern,Cruiser,V-twin,2,290000,Cruise
Indian,USA,FTR 1200 S,1203.0,120.0,110.0,Manual,Chain,1,2023,Modern,Standard,V-twin,1,150000,Street
Indian,USA,Scout Cruiser,1133.0,94.0,95.0,Manual,Chain,2,2023,Modern,Standard,V-twin,1,125000,Street
Kawasaki,Japan,Ninja 300,296.0,39.0,27.0,Manual,Chain,2,2023,Classic,Sport,Parallel-twin,2,40000,Race
Kawasaki,Japan,Ninja 400,399.0,45.0,39.0,Manual,Chain,2,2023,Classic,Sport,Parallel-twin,2,55000,Race
Kawasaki,Japan,Ninja 650,649.0,67.0,66.0,Manual,Chain,2,2023,Classic,Sport,Parallel-twin,2,70000,Race
Kawasaki,Japan,Z900,948.0,125.0,98.6,Manual,Chain,2,2023,Sport,Naked/Street,Parallel-twin,4,95000,Street
Kawasaki,Japan,Z H2,998.0,197.0,140.0,Manual,Shaft Drive,2,2023,Sport,Naked/Street,Other,4,165000,Street
Kawasaki,Japan,Vulcan S,649.0,60.0,62.0,Manual,Belt,2,2023,Classic,Cruiser,Parallel-twin,2,70000,Cruise
KTM,Austria,125 Duke,125.0,15.0,12.0,Manual,Chain,1,2023,Classic,Naked/Street,Single-cylinder,1,35000,Street
KTM,Austria,200 Duke,200.0,25.0,19.0,Manual,Chain,1,2023,Classic,Naked/Street,Single-cylinder,1,35000,Street
KTM,Austria,250 Duke,250.0,30.0,24.0,Manual,Chain,1,2023,Classic,Naked/Street,Single-cylinder,1,38000,Street
KTM,Austria,390 Duke,390.0,43.0,37.0,Manual,Chain,1,2023,Classic,Naked/Street,Single-cylinder,1,48000,Street
KTM,Austria,RC 200,200.0,25.0,19.0,Manual,Chain,1,2023,Sport,Sport,Single-cylinder,1,37000,Race
KTM,Austria,RC 390,390.0,43.0,37.0,Manual,Chain,1,2023,Sport,Sport,Single-cylinder,1,50000,Race
KTM,Austria,390 Adventure,373.0,43.0,37.0,Manual,Chain,2,2023,Adventure,Adventure,Single-cylinder,1,52000,Touring
KTM,Austria,790 Adventure,799.0,95.0,88.0,Manual,Chain,2,2023,Adventure,Adventure,Parallel-twin,2,85000,Touring
Kymco,Taiwan,Agility 125,125.0,10.0,9.5,Automatic,Automatic,1,2023,Classic,Scooter,Single-cylinder,1,22000,Street
Kymco,Taiwan,Downtown 300i,300.0,29.0,27.0,Automatic,Automatic,2,2023,Classic,Scooter,Single-cylinder,1,40000,Street
Kymco,Taiwan,K-XCT 300,300.0,29.0,27.0,Automatic,Automatic,2,2023,Adventure,Adventure,Single-cylinder,1,42000,Touring
Kymco,Taiwan,AK 550,550.0,47.0,55.0,Manual,Chain,2,2023,Sport,Sport,Parallel-twin,2,75000,Race
Leonart,Italy,Daytona 125,125.0,12.5,10.2,Manual,Chain,1,2023,Modern,Naked/Street,Single-cylinder,1,25000,Street
Leonart,Italy,Gran Turismo 300,300.0,25.8,23.5,Manual,Chain,1,2023,Modern,Sport,Single-cylinder,1,35000,Race
Leonart,Italy,Cafe Racer 500,500.0,38.0,38.0,Manual,Chain,1,2023,Retro,Cafe Racer,Single-cylinder,1,45000,Street
Leonart,Italy,Scrambler 650,650.0,47.0,50.0,Manual,Chain,1,2023,Adventure,Scrambler,Single-cylinder,1,55000,Street
Lambretta,India,V125,124.7,10.19,9.2,Automatic,Belt,1,2023,Classic,Scooter,Single-cylinder,1,30000,Street
Lambretta,India,V200,200.0,12.9,16.0,Automatic,Belt,1,2023,Classic,Scooter,Single-cylinder,1,35000,Street
Lifan,China,LF125S,125.0,9.4,9.5,Automatic,Automatic,1,2023,Modern,Scooter,Single-cylinder,1,18000,Street
Lifan,China,LF200GY,200.0,12.0,14.0,Automatic,Automatic,1,2023,Modern,Scooter,Single-cylinder,1,22000,Street
Lifan,China,LF250K,250.0,18.5,18.0,Manual,Chain,1,2023,Modern,Adventure,Single-cylinder,1,28000,Touring
Lifan,China,LF250GY-3,250.0,22.5,21.0,Manual,Chain,1,2023,Modern,Sport,Single-cylinder,1,28000,Race
Mahindra,India,Mojo 300,295.0,26.5,28.0,Manual,Chain,2,2015,Adventure,Naked/Street,Other,1,25000,Street
Mahindra,India,Xpulse 200,199.6,18.1,17.3,Manual,Chain,2,2019,Adventure,Standard,Single-cylinder,1,18000,Street
Mahindra,India,Gusto 125,124.9,10.7,10.5,Manual,Chain,2,2017,Urban,Standard,Single-cylinder,1,12000,Street
Mahindra,India,Duro DZire,110.0,8.5,8.5,Manual,Chain,2,2019,Urban,Standard,Single-cylinder,1,10000,Street
Mahindra,India,Centuro 100,106.7,8.5,8.5,Manual,Chain,2,2014,Urban,Standard,Single-cylinder,1,8000,Street
Moto Guzzi,Italy,V85 TT,853.0,80.0,100.059516,Manual,Shaft Drive,2,2022,Adventure,Standard,V-twin,2,95000,Street
Moto Guzzi,Italy,V9 Cruiser,900.0,65.0,80.535708,Manual,Shaft Drive,2,2016,Cruiser,Cruiser,V-twin,2,55000,Cruise
Moto Guzzi,Italy,V9 Roamer,900.0,65.0,80.535708,Manual,Shaft Drive,2,2016,Cruiser,Cruiser,V-twin,2,55000,Cruise
Moto Guzzi,Italy,Audace,900.0,75.0,97.61904,Manual,Shaft Drive,2,2019,Cruiser,Cruiser,V-twin,2,85000,Cruise
Moto Guzzi,Italy,Eldorado,1400.0,96.0,116.60052,Manual,Shaft Drive,2,2016,Classic,Cruiser,V-twin,2,105000,Cruise
Moto Guzzi,Italy,MGX-21,1700.0,115.0,120.66798,Automatic,Shaft Drive,2,2021,Cruiser,Cruiser,V-twin,2,135000,Cruise
MV Agusta,Italy,F3 800 RR,798.0,147.0,88.0,Manual,Chain,2,2023,Classic,Sport,Inline-three,3,175000,Race
MV Agusta,Italy,Brutale 1000 RR,998.0,208.0,116.0,Manual,Chain,2,2023,Sport,Naked/Street,Inline-three,3,235000,Street
MV Agusta,Italy,Turismo Veloce Lusso,800.0,110.0,86.0,Manual,Shaft Drive,2,2023,Classic,Adventure,Inline-three,3,175000,Touring
MV Agusta,Italy,Dragster RR,800.0,140.0,86.0,Manual,Chain,2,2023,Modern,Naked/Street,Inline-three,3,155000,Street
MV Agusta,Italy,Superveloce 800,798.0,140.0,86.0,Manual,Chain,2,2023,Retro,Cafe Racer,Inline-three,3,165000,Street
Norton,UK,Commando 961 CafÃ© Racer,961.0,80.0,67.0,Manual,Chain,2,2023,Classic,Cafe Racer,Parallel-twin,2,150000,Street
Norton,UK,Commando 961 Sport,961.0,80.0,67.0,Manual,Chain,2,2023,Classic,Sport,Parallel-twin,2,145000,Race
Norton,UK,Atlas,1200.0,105.0,90.0,Manual,Shaft Drive,2,2022,Adventure,Adventure,Parallel-twin,2,175000,Touring
Norton,UK,V4SV,1200.0,177.0,125.0,Manual,Chain,2,2023,Sport,Sport,Parallel-twin,4,360000,Race
Piaggio,Italy,Aprilia SR160,160.0,11.3,11.5,Automatic,Automatic,2,2023,Sport,Scooter,single-cylinder,1,30000,Street
Piaggio,Italy,Aprilia RS150,150.0,17.7,14.2,Manual,Chain,2,2023,Sport,Sport,single-cylinder,1,35000,Race
Piaggio,Italy,Aprilia Tuono 660,660.0,95.0,67.0,Manual,Chain,2,2022,Sport,Naked/Street,Parallel-twin,2,85000,Street
Piaggio,Italy,Vespa VX125,125.0,9.5,9.8,Automatic,Automatic,2,2023,Classic,Scooter,single-cylinder,1,35000,Street
Piaggio,Italy,Vespa GTS300,300.0,23.8,26.0,Automatic,Automatic,2,2023,Classic,Scooter,single-cylinder,1,55000,Street
Royal Enfield,India,Bullet 350,346.0,19.8,28.0,Manual,Chain,2,2023,Classic,Cruiser,single-cylinder,1,40000,Cruise
Royal Enfield,India,Bullet 500,499.0,27.2,41.0,Manual,Chain,2,2023,Classic,Cruiser,single-cylinder,1,45000,Cruise
Royal Enfield,India,Meteor 350,349.0,20.2,27.0,Manual,Chain,2,2022,Classic,Cruiser,single-cylinder,1,35000,Cruise
Royal Enfield,India,Himalayan,411.0,24.5,32.0,Manual,Chain,2,2022,Adventure,Adventure,single-cylinder,1,40000,Touring
Royal Enfield,India,Interceptor 650,648.0,47.6,52.0,Manual,Shaft Drive,2,2022,Classic,Cafe Racer,Parallel-twin,2,55000,Street
Royal Enfield,India,Continental GT 650,648.0,47.6,52.0,Manual,Shaft Drive,2,2022,Sport,Cafe Racer,Parallel-twin,2,60000,Street
Royal Enfield,India,Super Meteor 650,648.0,47.0,52.3,Manual,Chain,2,2022,Classic,Cruiser,Parallel-twin,2,65000,Cruise
Suzuki,Japan,Gixxer SF 250,249.0,26.5,22.6,Manual,Chain,2,2022,Sport,Naked/Street,Single-cylinder,1,35000,Street
Suzuki,Japan,Gixxer 250,249.0,26.5,22.6,Manual,Chain,2,2022,Sport,Naked/Street,Single-cylinder,1,32000,Street
Suzuki,Japan,Intruder 150,155.0,14.8,14.0,Manual,Chain,2,2022,Classic,Cruiser,Single-cylinder,1,25000,Cruise
Suzuki,Japan,Access 125,124.0,8.7,10.2,Automatic,Automatic,2,2022,Practical,Scooter,Single-cylinder,1,20000,Street
Suzuki,Japan,Burgman Naked/Street 125,124.0,8.7,10.2,Automatic,Automatic,2,2022,Practical,Scooter,Single-cylinder,1,20000,Street
SYM,Taiwan,Joymax Z 300,300.0,32.0,26.0,Automatic,Automatic,2,2023,Adventure,Scooter,single-cylinder,1,40000,Street
SYM,Taiwan,Maxsym 400i,400.0,33.0,34.0,Automatic,Automatic,2,2022,Sport,Scooter,single-cylinder,1,50000,Street
SYM,Taiwan,Joyride 125,125.0,10.0,10.0,Automatic,Automatic,2,2022,Classic,Scooter,single-cylinder,1,25000,Street
SYM,Taiwan,Fiddle III 125,125.0,9.0,9.0,Automatic,Automatic,2,2021,Classic,Scooter,single-cylinder,1,22000,Street
SYM,Taiwan,HD 200,200.0,17.0,16.0,Manual,Chain,2,2020,Classic,Naked/Street,single-cylinder,1,22000,Street
Triumph,UK,Rocket 3 R,2500.0,167.0,220.99866,Manual,Shaft Drive,2,2023,Cruiser,Cruiser,Inline-three,3,190000,Cruise
Triumph,UK,Speed Triple 1200 RR,1160.0,177.0,128.8029,Manual,Chain,1,2023,Sport,Naked/Street,Inline-three,3,155000,Street
Triumph,UK,Trident 660,660.0,89.0,79.99338,Manual,Chain,2,2022,Sport,Naked/Street,Inline-three,2,65000,Street
Triumph,UK,Tiger 900 GT Pro,888.0,105.0,86.77248,Manual,Shaft Drive,2,2023,Adventure,Adventure,Inline-three,1,110000,Touring
Triumph,UK,Tiger 850 Sport,888.0,85.0,84.06084,Manual,Shaft Drive,2,2022,Sport,Adventure,Inline-three,1,85000,Touring
Triumph,UK,Speed Twin 900,900.0,97.0,115.24470000000001,Manual,Chain,2,2022,Classic,Naked/Street,Other,2,70000,Street
Triumph,UK,Bonneville T100,900.0,65.0,79.99338,Manual,Chain,2,2022,Classic,Cruiser,Other,2,75000,Cruise
Triumph,UK,Bonneville T120,1200.0,79.0,117.95634,Manual,Chain,2,2022,Classic,Cruiser,Other,2,95000,Cruise
Vespa,Italy,Primavera,150.0,12.1,16.541004,Automatic,Automatic,2,2022,Classic,Scooter,Single-cylinder,1,35000,Street
Vespa,Italy,Sprint,125.0,10.0,11.931216000000001,Automatic,Automatic,2,2022,Sport,Scooter,Single-cylinder,1,32000,Street
Vespa,Italy,GTS 300,300.0,23.8,26.302908,Automatic,Automatic,2,2022,Sport,Scooter,Single-cylinder,1,50000,Street
Vespa,Italy,946,125.0,10.7,12.473543999999999,Automatic,Automatic,2,2022,Classic,Scooter,Single-cylinder,1,85000,Street
Vespa,Italy,Elettrica,70.0,5.4,75.92592,Automatic,Electric,2,2022,Modern,Scooter,Electric,0,35000,Street
Yamaha,Japan,R1,998.0,200.0,151.85184,Manual,Chain,1,2023,Sport,Sport,Inline-four,4,185000,Race
Yamaha,Japan,MT-09,889.0,117.0,93.55158,Manual,Chain,1,2022,Sport,Naked/Street,Inline-three,3,85000,Street
Yamaha,Japan,R3,321.0,42.0,39.318780000000004,Manual,Chain,1,2022,Sport,Sport,Inline-four,4,50000,Race
Yamaha,Japan,FZ-25,249.0,26.0,25.218252000000003,Manual,Chain,1,2022,Modern,Naked/Street,Single-cylinder,1,30000,Street
Yamaha,Japan,XSR155,155.0,18.0,19.930554,Manual,Chain,1,2022,Classic,Standard,Single-cylinder,1,35000,Street
Beta,Italy,RR 350 2-Stroke,350.0,40.0,34.0,Manual,Chain,1,2023,Classic,Enduro,Other,1,95000,Off-road
Beta,Italy,RR 250 2-Stroke,250.0,35.0,27.0,Manual,Chain,1,2023,Classic,Enduro,Other,1,90000,Off-road
Beta,Italy,RR 125 2-Stroke,125.0,27.0,22.0,Manual,Chain,1,2023,Classic,Enduro,Other,1,65000,Off-road
Beta,Italy,RR 390 Other,390.0,45.0,37.0,Manual,Chain,1,2023,Classic,Enduro,Other,1,95000,Off-road
Beta,Italy,RR 250 Other,250.0,38.0,28.0,Manual,Chain,1,2023,Classic,Enduro,Other,1,90000,Off-road
Beta,Italy,RR 125 Other,125.0,24.0,20.0,Manual,Chain,1,2023,Classic,Enduro,Other,1,65000,Off-road
Beta,Italy,Alp 200,200.0,25.0,22.0,Manual,Shaft Drive,2,2023,Adventure,Enduro,Other,1,55000,Off-road
Beta,Italy,Alp 125,125.0,20.0,18.0,Manual,Shaft Drive,2,2023,Adventure,Enduro,Other,1,50000,Off-road
GasGas,Spain,MC 250F,250.0,37.0,26.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,80000,Off-road
GasGas,Spain,MC 350F,350.0,44.0,32.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,90000,Off-road
GasGas,Spain,MC 450F,450.0,52.0,42.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,100000,Off-road
GasGas,Spain,EC 250,250.0,35.0,25.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,75000,Off-road
GasGas,Spain,EC 300,300.0,40.0,30.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,80000,Off-road
GasGas,Spain,EC 250F,250.0,37.0,26.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,80000,Off-road
GasGas,Spain,EC 300F,300.0,44.0,32.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,90000,Off-road
GasGas,Spain,SM 700,693.0,74.0,70.0,Manual,Chain,1,2023,Modern,Enduro,Single-cylinder,,95000,Off-road
Harley-Davidson,USA,LiveWire,1133.0,105.0,116.0,Electric,Electric,1,2021,Modern,Cruiser,Electric,1,120000,Cruise
Honda,Japan,CT125,124.9,10.2,10.4,Automatic,Shaft Drive,1,2022,Adventure,Enduro,Single-cylinder,1,35000,Off-road
Honda,Japan,Super Cub,110.0,8.5,9.5,Automatic,Chain,1,2023,Classic,Standard,Single-cylinder,1,30000,Street
Husqvarna,Sweden,Vitpilen 250,248.76,30.84,24.0,Manual,Chain,1,2023,Classic,Naked/Street,Single-cylinder,1,40000,Street
Husqvarna,Sweden,Svartpilen 250,248.76,30.84,24.0,Manual,Chain,1,2023,Adventure,Naked/Street,Single-cylinder,1,40000,Street
Husqvarna,Sweden,Vitpilen 401,373.2,43.5,37.0,Manual,Chain,1,2023,Classic,Naked/Street,Single-cylinder,1,48000,Street
Husqvarna,Sweden,Svartpilen 401,373.2,43.5,37.0,Manual,Chain,1,2023,Adventure,Naked/Street,Single-cylinder,1,50000,Street
Husqvarna,Sweden,FE 350,350.0,39.3,35.0,Manual,Chain,1,2023,Off-road,Enduro,Single-cylinder,1,85000,Off-road
Husqvarna,Sweden,TE 300i,300.0,44.2,30.0,Manual,Chain,1,2023,Off-road,Enduro,Single-cylinder,2,85000,Off-road
Husqvarna,Sweden,FE 501,501.0,51.5,48.0,Manual,Chain,1,2023,Off-road,Enduro,Single-cylinder,1,90000,Off-road
Husqvarna,Sweden,TE 501i,501.0,51.5,48.0,Manual,Chain,1,2023,Off-road,Enduro,Single-cylinder,1,90000,Off-road
KTM,Austria,1290 Super Duke R,1301.0,177.0,140.0,Manual,Chain,1,2023,Sport,Naked/Street,V-twin,2,145000,Street
Moto Morini,Italy,Seiemmezzo 6 Â½,649.0,55.7,54.0,Manual,Chain,2,2023,Classic,Naked/Street,Parallel-twin,2,55000,Street
Moto Morini,Italy,X-Cape,649.0,60.8,54.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Parallel-twin,2,65000,Touring
Suzuki,Japan,Hayabusa,1340.0,190.0,150.0,Manual,Chain,2,2023,Classic,Sport,Inline-four,4,150000,Race
Triumph,UK,Rocket 3,2458.0,167.0,221.0,Manual,Shaft Drive,2,2023,Classic,Cruiser,Inline-three,3,175000,Cruise
Yamaha,Japan,MT-10,998.0,158.0,111.0,Manual,Chain,1,2023,Classic,Naked/Street,Parallel-twin,4,145000,Street
Bajaj,India,Pulsar 125,124.9,12.7,11.0,Manual,Chain,1,2023,Sport,Naked/Street,Single-cylinder,1,22000,Street
Bajaj,India,Pulsar 150,149.5,14.5,13.0,Manual,Chain,1,2023,Sport,Naked/Street,Single-cylinder,1,25000,Street
